Dataset,Image,Intensity,Size
ISLES,sub10/0/slice32_nonlesion.png,NaN,0
ISLES,sub10/0/slice33_nonlesion.png,NaN,0
ISLES,sub10/0/slice34_nonlesion.png,NaN,0
ISLES,sub10/0/slice35_nonlesion.png,NaN,0
ISLES,sub10/0/slice36_nonlesion.png,NaN,0
ISLES,sub11/0/slice1_nonlesion.png,NaN,0
ISLES,sub11/0/slice2_nonlesion.png,NaN,0
ISLES,sub11/0/slice3_nonlesion.png,NaN,0
ISLES,sub11/0/slice4_nonlesion.png,NaN,0
ISLES,sub11/0/slice5_nonlesion.png,NaN,0
ISLES,sub11/0/slice6_nonlesion.png,NaN,0
ISLES,sub11/0/slice7_nonlesion.png,NaN,0
ISLES,sub11/0/slice8_nonlesion.png,NaN,0
ISLES,sub11/0/slice9_nonlesion.png,NaN,0
ISLES,sub11/0/slice10_nonlesion.png,NaN,0
ISLES,sub11/0/slice11_nonlesion.png,NaN,0
ISLES,sub11/0/slice12_nonlesion.png,NaN,0
ISLES,sub11/0/slice13_nonlesion.png,NaN,0
ISLES,sub11/0/slice14_nonlesion.png,NaN,0
ISLES,sub11/0/slice15_nonlesion.png,NaN,0
ISLES,sub11/0/slice16_nonlesion.png,NaN,0
ISLES,sub11/1/slice17_lesion.png,0.433744949,138
ISLES,sub11/1/slice18_lesion.png,0.482092428,214
ISLES,sub11/1/slice19_lesion.png,0.482153178,668
ISLES,sub11/1/slice20_lesion.png,0.505825762,625
ISLES,sub11/1/slice21_lesion.png,0.525401773,461
ISLES,sub11/1/slice22_lesion.png,0.544351301,295
ISLES,sub11/1/slice23_lesion.png,0.546543443,203
ISLES,sub11/1/slice24_lesion.png,0.565017342,40
ISLES,sub11/1/slice25_lesion.png,0.487378365,22
ISLES,sub11/0/slice26_nonlesion.png,NaN,0
ISLES,sub11/0/slice27_nonlesion.png,NaN,0
ISLES,sub11/0/slice28_nonlesion.png,NaN,0
ISLES,sub11/0/slice29_nonlesion.png,NaN,0
ISLES,sub11/0/slice30_nonlesion.png,NaN,0
ISLES,sub11/0/slice31_nonlesion.png,NaN,0
ISLES,sub11/0/slice32_nonlesion.png,NaN,0
ISLES,sub11/0/slice33_nonlesion.png,NaN,0
ISLES,sub11/0/slice34_nonlesion.png,NaN,0
ISLES,sub11/0/slice35_nonlesion.png,NaN,0
ISLES,sub11/0/slice36_nonlesion.png,NaN,0
ISLES,sub12/0/slice1_nonlesion.png,NaN,0
ISLES,sub12/0/slice2_nonlesion.png,NaN,0
ISLES,sub12/0/slice3_nonlesion.png,NaN,0
ISLES,sub12/0/slice4_nonlesion.png,NaN,0
ISLES,sub12/0/slice5_nonlesion.png,NaN,0
ISLES,sub12/0/slice6_nonlesion.png,NaN,0
ISLES,sub12/0/slice7_nonlesion.png,NaN,0
ISLES,sub12/0/slice8_nonlesion.png,NaN,0
ISLES,sub12/0/slice9_nonlesion.png,NaN,0
ISLES,sub12/0/slice10_nonlesion.png,NaN,0
ISLES,sub12/0/slice11_nonlesion.png,NaN,0
ISLES,sub12/0/slice12_nonlesion.png,NaN,0
ISLES,sub12/0/slice13_nonlesion.png,NaN,0
ISLES,sub12/1/slice14_lesion.png,0.610785361,81
ISLES,sub12/1/slice15_lesion.png,0.638974303,186
ISLES,sub12/1/slice16_lesion.png,0.656966665,232
ISLES,sub12/1/slice17_lesion.png,0.620901862,355
ISLES,sub12/1/slice18_lesion.png,0.611878503,565
ISLES,sub12/1/slice19_lesion.png,0.602926027,573
ISLES,sub12/1/slice20_lesion.png,0.638960528,335
ISLES,sub12/1/slice21_lesion.png,0.668323472,221
ISLES,sub12/1/slice22_lesion.png,0.704698087,158
ISLES,sub12/0/slice23_nonlesion.png,NaN,0
ISLES,sub12/0/slice24_nonlesion.png,NaN,0
ISLES,sub12/0/slice25_nonlesion.png,NaN,0
ISLES,sub12/0/slice26_nonlesion.png,NaN,0
ISLES,sub12/0/slice27_nonlesion.png,NaN,0
ISLES,sub12/0/slice28_nonlesion.png,NaN,0
ISLES,sub12/0/slice29_nonlesion.png,NaN,0
ISLES,sub12/0/slice30_nonlesion.png,NaN,0
ISLES,sub12/0/slice31_nonlesion.png,NaN,0
ISLES,sub12/0/slice32_nonlesion.png,NaN,0
ISLES,sub12/0/slice33_nonlesion.png,NaN,0
ISLES,sub12/0/slice34_nonlesion.png,NaN,0
ISLES,sub12/0/slice35_nonlesion.png,NaN,0
ISLES,sub12/0/slice36_nonlesion.png,NaN,0
ISLES,sub13/0/slice1_nonlesion.png,NaN,0
ISLES,sub13/0/slice2_nonlesion.png,NaN,0
ISLES,sub13/0/slice3_nonlesion.png,NaN,0
ISLES,sub13/0/slice4_nonlesion.png,NaN,0
ISLES,sub13/0/slice5_nonlesion.png,NaN,0
ISLES,sub13/0/slice6_nonlesion.png,NaN,0
ISLES,sub13/0/slice7_nonlesion.png,NaN,0
ISLES,sub13/0/slice8_nonlesion.png,NaN,0
ISLES,sub13/0/slice9_nonlesion.png,NaN,0
ISLES,sub13/0/slice10_nonlesion.png,NaN,0
ISLES,sub13/0/slice11_nonlesion.png,NaN,0
ISLES,sub13/0/slice12_nonlesion.png,NaN,0
ISLES,sub13/0/slice13_nonlesion.png,NaN,0
ISLES,sub13/0/slice14_nonlesion.png,NaN,0
ISLES,sub13/1/slice15_lesion.png,0.623179969,36
ISLES,sub13/1/slice16_lesion.png,0.65013675,73
ISLES,sub13/1/slice17_lesion.png,0.669861836,98
ISLES,sub13/1/slice18_lesion.png,0.642897508,47
ISLES,sub13/0/slice19_nonlesion.png,NaN,0
ISLES,sub13/0/slice20_nonlesion.png,NaN,0
ISLES,sub13/1/slice21_lesion.png,0.686581367,33
ISLES,sub13/1/slice22_lesion.png,0.707726853,56
ISLES,sub13/1/slice23_lesion.png,0.67823048,68
ISLES,sub13/1/slice24_lesion.png,0.690047867,43
ISLES,sub13/1/slice25_lesion.png,0.729493569,29
ISLES,sub13/1/slice26_lesion.png,0.727120706,11
ISLES,sub13/1/slice27_lesion.png,0.662057937,14
ISLES,sub13/1/slice28_lesion.png,0.624572884,25
ISLES,sub13/1/slice29_lesion.png,0.600352985,29
ISLES,sub13/1/slice30_lesion.png,0.586201748,27
ISLES,sub13/1/slice31_lesion.png,0.589252913,24
ISLES,sub13/1/slice32_lesion.png,0.543571451,19
ISLES,sub13/0/slice33_nonlesion.png,NaN,0
ISLES,sub13/0/slice34_nonlesion.png,NaN,0
ISLES,sub13/0/slice35_nonlesion.png,NaN,0
ISLES,sub13/0/slice36_nonlesion.png,NaN,0
ISLES,sub14/0/slice1_nonlesion.png,NaN,0
ISLES,sub14/0/slice2_nonlesion.png,NaN,0
ISLES,sub14/0/slice3_nonlesion.png,NaN,0
ISLES,sub14/0/slice4_nonlesion.png,NaN,0
ISLES,sub14/0/slice5_nonlesion.png,NaN,0
ISLES,sub14/0/slice6_nonlesion.png,NaN,0
ISLES,sub14/0/slice7_nonlesion.png,NaN,0
ISLES,sub14/0/slice8_nonlesion.png,NaN,0
ISLES,sub14/0/slice9_nonlesion.png,NaN,0
ISLES,sub14/0/slice10_nonlesion.png,NaN,0
ISLES,sub14/0/slice11_nonlesion.png,NaN,0
ISLES,sub14/0/slice12_nonlesion.png,NaN,0
ISLES,sub14/1/slice13_lesion.png,0.682064408,87
ISLES,sub14/1/slice14_lesion.png,0.634330373,403
ISLES,sub14/1/slice15_lesion.png,0.663748082,591
ISLES,sub14/1/slice16_lesion.png,0.678208253,819
ISLES,sub14/1/slice17_lesion.png,0.663320421,1485
ISLES,sub14/1/slice18_lesion.png,0.69127679,1366
ISLES,sub14/1/slice19_lesion.png,0.739522647,1047
ISLES,sub14/1/slice20_lesion.png,0.764058933,785
ISLES,sub14/1/slice21_lesion.png,0.74827878,824
ISLES,sub14/1/slice22_lesion.png,0.674768946,1284
ISLES,sub14/1/slice23_lesion.png,0.689391408,1425
ISLES,sub14/1/slice24_lesion.png,0.730053065,1254
ISLES,sub14/1/slice25_lesion.png,0.754272134,1054
ISLES,sub14/1/slice26_lesion.png,0.734785458,988
ISLES,sub14/1/slice27_lesion.png,0.697406681,853
ISLES,sub14/1/slice28_lesion.png,0.655081662,427
ISLES,sub14/1/slice29_lesion.png,0.678026133,119
ISLES,sub14/1/slice30_lesion.png,0.625883395,52
ISLES,sub14/1/slice31_lesion.png,0.531474022,9
ISLES,sub14/0/slice32_nonlesion.png,NaN,0
ISLES,sub14/0/slice33_nonlesion.png,NaN,0
ISLES,sub14/0/slice34_nonlesion.png,NaN,0
ISLES,sub14/0/slice35_nonlesion.png,NaN,0
ISLES,sub14/0/slice36_nonlesion.png,NaN,0
ISLES,sub15/0/slice1_nonlesion.png,NaN,0
ISLES,sub15/0/slice2_nonlesion.png,NaN,0
ISLES,sub15/0/slice3_nonlesion.png,NaN,0
ISLES,sub15/0/slice4_nonlesion.png,NaN,0
ISLES,sub15/0/slice5_nonlesion.png,NaN,0
ISLES,sub15/0/slice6_nonlesion.png,NaN,0
ISLES,sub15/0/slice7_nonlesion.png,NaN,0
ISLES,sub15/0/slice8_nonlesion.png,NaN,0
ISLES,sub15/0/slice9_nonlesion.png,NaN,0
ISLES,sub15/0/slice10_nonlesion.png,NaN,0
ISLES,sub15/0/slice11_nonlesion.png,NaN,0
ISLES,sub15/1/slice12_lesion.png,0.643009303,1
ISLES,sub15/1/slice13_lesion.png,0.680906645,6
ISLES,sub15/0/slice14_nonlesion.png,NaN,0
ISLES,sub15/1/slice15_lesion.png,0.624575595,89
ISLES,sub15/1/slice16_lesion.png,0.664200293,213
ISLES,sub15/1/slice17_lesion.png,0.704927184,301
ISLES,sub15/1/slice18_lesion.png,0.741173482,339
ISLES,sub15/1/slice19_lesion.png,0.738442661,479
ISLES,sub15/1/slice20_lesion.png,0.746788982,479
ISLES,sub15/1/slice21_lesion.png,0.718930738,508
ISLES,sub15/1/slice22_lesion.png,0.69019904,550
ISLES,sub15/1/slice23_lesion.png,0.672891055,476
ISLES,sub15/1/slice24_lesion.png,0.650285004,251
ISLES,sub15/1/slice25_lesion.png,0.606743116,148
ISLES,sub15/0/slice26_nonlesion.png,NaN,0
ISLES,sub15/0/slice27_nonlesion.png,NaN,0
ISLES,sub15/0/slice28_nonlesion.png,NaN,0
ISLES,sub15/0/slice29_nonlesion.png,NaN,0
ISLES,sub15/0/slice30_nonlesion.png,NaN,0
ISLES,sub15/0/slice31_nonlesion.png,NaN,0
ISLES,sub15/0/slice32_nonlesion.png,NaN,0
ISLES,sub15/0/slice33_nonlesion.png,NaN,0
ISLES,sub15/0/slice34_nonlesion.png,NaN,0
ISLES,sub15/0/slice35_nonlesion.png,NaN,0
ISLES,sub15/0/slice36_nonlesion.png,NaN,0
ISLES,sub16/0/slice1_nonlesion.png,NaN,0
ISLES,sub16/0/slice2_nonlesion.png,NaN,0
ISLES,sub16/0/slice3_nonlesion.png,NaN,0
ISLES,sub16/0/slice4_nonlesion.png,NaN,0
ISLES,sub16/0/slice5_nonlesion.png,NaN,0
ISLES,sub16/0/slice6_nonlesion.png,NaN,0
ISLES,sub16/0/slice7_nonlesion.png,NaN,0
ISLES,sub16/0/slice8_nonlesion.png,NaN,0
ISLES,sub16/0/slice9_nonlesion.png,NaN,0
ISLES,sub16/0/slice10_nonlesion.png,NaN,0
ISLES,sub16/0/slice11_nonlesion.png,NaN,0
ISLES,sub16/0/slice12_nonlesion.png,NaN,0
ISLES,sub16/0/slice13_nonlesion.png,NaN,0
ISLES,sub16/0/slice14_nonlesion.png,NaN,0
ISLES,sub16/0/slice15_nonlesion.png,NaN,0
ISLES,sub16/0/slice16_nonlesion.png,NaN,0
ISLES,sub16/0/slice17_nonlesion.png,NaN,0
ISLES,sub16/0/slice18_nonlesion.png,NaN,0
ISLES,sub16/0/slice19_nonlesion.png,NaN,0
ISLES,sub16/0/slice20_nonlesion.png,NaN,0
ISLES,sub16/0/slice21_nonlesion.png,NaN,0
ISLES,sub16/0/slice22_nonlesion.png,NaN,0
ISLES,sub16/0/slice23_nonlesion.png,NaN,0
ISLES,sub16/1/slice24_lesion.png,0.474259642,12
ISLES,sub16/1/slice25_lesion.png,0.472885842,11
ISLES,sub16/1/slice26_lesion.png,0.449944457,9
ISLES,sub16/1/slice27_lesion.png,0.504753725,8
ISLES,sub16/0/slice28_nonlesion.png,NaN,0
ISLES,sub16/0/slice29_nonlesion.png,NaN,0
ISLES,sub16/0/slice30_nonlesion.png,NaN,0
ISLES,sub16/0/slice31_nonlesion.png,NaN,0
ISLES,sub16/0/slice32_nonlesion.png,NaN,0
ISLES,sub16/0/slice33_nonlesion.png,NaN,0
ISLES,sub16/0/slice34_nonlesion.png,NaN,0
ISLES,sub16/0/slice35_nonlesion.png,NaN,0
ISLES,sub16/0/slice36_nonlesion.png,NaN,0
ISLES,sub17/0/slice1_nonlesion.png,NaN,0
ISLES,sub17/0/slice2_nonlesion.png,NaN,0
ISLES,sub17/0/slice3_nonlesion.png,NaN,0
ISLES,sub17/0/slice4_nonlesion.png,NaN,0
ISLES,sub17/0/slice5_nonlesion.png,NaN,0
ISLES,sub17/0/slice6_nonlesion.png,NaN,0
ISLES,sub17/0/slice7_nonlesion.png,NaN,0
ISLES,sub17/0/slice8_nonlesion.png,NaN,0
ISLES,sub17/0/slice9_nonlesion.png,NaN,0
ISLES,sub17/0/slice10_nonlesion.png,NaN,0
ISLES,sub17/0/slice11_nonlesion.png,NaN,0
ISLES,sub17/0/slice12_nonlesion.png,NaN,0
ISLES,sub17/0/slice13_nonlesion.png,NaN,0
ISLES,sub17/0/slice14_nonlesion.png,NaN,0
ISLES,sub17/0/slice15_nonlesion.png,NaN,0
ISLES,sub17/0/slice16_nonlesion.png,NaN,0
ISLES,sub17/0/slice17_nonlesion.png,NaN,0
ISLES,sub17/0/slice18_nonlesion.png,NaN,0
ISLES,sub17/0/slice19_nonlesion.png,NaN,0
ISLES,sub17/0/slice20_nonlesion.png,NaN,0
ISLES,sub17/0/slice21_nonlesion.png,NaN,0
ISLES,sub17/1/slice22_lesion.png,0.599628302,9
ISLES,sub17/1/slice23_lesion.png,0.627465033,77
ISLES,sub17/1/slice24_lesion.png,0.620273144,124
ISLES,sub17/1/slice25_lesion.png,0.668898915,75
ISLES,sub17/1/slice26_lesion.png,0.682423637,74
ISLES,sub17/1/slice27_lesion.png,0.632165698,50
ISLES,sub17/1/slice28_lesion.png,0.5070153,8
ISLES,sub17/0/slice29_nonlesion.png,NaN,0
ISLES,sub17/0/slice30_nonlesion.png,NaN,0
ISLES,sub17/0/slice31_nonlesion.png,NaN,0
ISLES,sub17/0/slice32_nonlesion.png,NaN,0
ISLES,sub17/0/slice33_nonlesion.png,NaN,0
ISLES,sub17/0/slice34_nonlesion.png,NaN,0
ISLES,sub17/0/slice35_nonlesion.png,NaN,0
ISLES,sub17/0/slice36_nonlesion.png,NaN,0
ISLES,sub18/0/slice1_nonlesion.png,NaN,0
ISLES,sub18/0/slice2_nonlesion.png,NaN,0
ISLES,sub18/0/slice3_nonlesion.png,NaN,0
ISLES,sub18/0/slice4_nonlesion.png,NaN,0
ISLES,sub18/0/slice5_nonlesion.png,NaN,0
ISLES,sub18/0/slice6_nonlesion.png,NaN,0
ISLES,sub18/0/slice7_nonlesion.png,NaN,0
ISLES,sub18/0/slice8_nonlesion.png,NaN,0
ISLES,sub18/0/slice9_nonlesion.png,NaN,0
ISLES,sub18/0/slice10_nonlesion.png,NaN,0
ISLES,sub18/0/slice11_nonlesion.png,NaN,0
ISLES,sub18/0/slice12_nonlesion.png,NaN,0
ISLES,sub18/0/slice13_nonlesion.png,NaN,0
ISLES,sub18/0/slice14_nonlesion.png,NaN,0
ISLES,sub18/0/slice15_nonlesion.png,NaN,0
ISLES,sub18/1/slice16_lesion.png,0.475847579,25
ISLES,sub18/1/slice17_lesion.png,0.462420418,7
ISLES,sub18/0/slice18_nonlesion.png,NaN,0
ISLES,sub18/0/slice19_nonlesion.png,NaN,0
ISLES,sub18/0/slice20_nonlesion.png,NaN,0
ISLES,sub18/0/slice21_nonlesion.png,NaN,0
ISLES,sub18/0/slice22_nonlesion.png,NaN,0
ISLES,sub18/0/slice23_nonlesion.png,NaN,0
ISLES,sub18/1/slice24_lesion.png,0.511628276,3
ISLES,sub18/0/slice25_nonlesion.png,NaN,0
ISLES,sub18/1/slice26_lesion.png,0.574073926,61
ISLES,sub18/1/slice27_lesion.png,0.594378728,92
ISLES,sub18/1/slice28_lesion.png,0.579210754,69
ISLES,sub18/1/slice29_lesion.png,0.559489927,189
ISLES,sub18/1/slice30_lesion.png,0.57426104,234
ISLES,sub18/1/slice31_lesion.png,0.551646567,265
ISLES,sub18/1/slice32_lesion.png,0.542845195,330
ISLES,sub18/1/slice33_lesion.png,0.513504086,300
ISLES,sub18/1/slice34_lesion.png,0.484189171,139
ISLES,sub18/1/slice35_lesion.png,0.424518755,49
ISLES,sub18/0/slice36_nonlesion.png,NaN,0
ISLES,sub19/0/slice1_nonlesion.png,NaN,0
ISLES,sub19/0/slice2_nonlesion.png,NaN,0
ISLES,sub19/0/slice3_nonlesion.png,NaN,0
ISLES,sub19/0/slice4_nonlesion.png,NaN,0
ISLES,sub19/0/slice5_nonlesion.png,NaN,0
ISLES,sub19/0/slice6_nonlesion.png,NaN,0
ISLES,sub19/0/slice7_nonlesion.png,NaN,0
ISLES,sub19/0/slice8_nonlesion.png,NaN,0
ISLES,sub19/0/slice9_nonlesion.png,NaN,0
ISLES,sub19/0/slice10_nonlesion.png,NaN,0
ISLES,sub19/0/slice11_nonlesion.png,NaN,0
ISLES,sub19/0/slice12_nonlesion.png,NaN,0
ISLES,sub19/0/slice13_nonlesion.png,NaN,0
ISLES,sub19/0/slice14_nonlesion.png,NaN,0
ISLES,sub19/0/slice15_nonlesion.png,NaN,0
ISLES,sub19/0/slice16_nonlesion.png,NaN,0
ISLES,sub19/0/slice17_nonlesion.png,NaN,0
ISLES,sub19/0/slice18_nonlesion.png,NaN,0
ISLES,sub19/0/slice19_nonlesion.png,NaN,0
ISLES,sub19/1/slice20_lesion.png,0.5762328,4
ISLES,sub19/1/slice21_lesion.png,0.676143307,7
ISLES,sub19/1/slice22_lesion.png,0.684856502,23
ISLES,sub19/1/slice23_lesion.png,0.655184835,34
ISLES,sub19/1/slice24_lesion.png,0.560497512,5
ISLES,sub19/0/slice25_nonlesion.png,NaN,0
ISLES,sub19/0/slice26_nonlesion.png,NaN,0
ISLES,sub19/0/slice27_nonlesion.png,NaN,0
ISLES,sub19/0/slice28_nonlesion.png,NaN,0
ISLES,sub19/0/slice29_nonlesion.png,NaN,0
ISLES,sub19/0/slice30_nonlesion.png,NaN,0
ISLES,sub19/0/slice31_nonlesion.png,NaN,0
ISLES,sub19/0/slice32_nonlesion.png,NaN,0
ISLES,sub19/0/slice33_nonlesion.png,NaN,0
ISLES,sub19/0/slice34_nonlesion.png,NaN,0
ISLES,sub19/0/slice35_nonlesion.png,NaN,0
ISLES,sub19/0/slice36_nonlesion.png,NaN,0
ISLES,sub2/0/slice1_nonlesion.png,NaN,0
ISLES,sub2/0/slice2_nonlesion.png,NaN,0
ISLES,sub2/0/slice3_nonlesion.png,NaN,0
ISLES,sub2/0/slice4_nonlesion.png,NaN,0
ISLES,sub2/0/slice5_nonlesion.png,NaN,0
ISLES,sub2/0/slice6_nonlesion.png,NaN,0
ISLES,sub2/0/slice7_nonlesion.png,NaN,0
ISLES,sub2/0/slice8_nonlesion.png,NaN,0
ISLES,sub2/0/slice9_nonlesion.png,NaN,0
ISLES,sub2/0/slice10_nonlesion.png,NaN,0
ISLES,sub2/0/slice11_nonlesion.png,NaN,0
ISLES,sub2/0/slice12_nonlesion.png,NaN,0
ISLES,sub2/0/slice13_nonlesion.png,NaN,0
ISLES,sub2/0/slice14_nonlesion.png,NaN,0
ISLES,sub2/1/slice15_lesion.png,0.56252403,49
ISLES,sub2/1/slice16_lesion.png,0.546604712,270
ISLES,sub2/1/slice17_lesion.png,0.587775451,444
ISLES,sub2/1/slice18_lesion.png,0.592691737,470
ISLES,sub2/1/slice19_lesion.png,0.592014052,427
ISLES,sub2/1/slice20_lesion.png,0.60352803,396
ISLES,sub2/1/slice21_lesion.png,0.629795036,415
ISLES,sub2/1/slice22_lesion.png,0.628985663,479
ISLES,sub2/1/slice23_lesion.png,0.619901865,494
ISLES,sub2/1/slice24_lesion.png,0.591060345,351
ISLES,sub2/1/slice25_lesion.png,0.543869323,314
ISLES,sub2/1/slice26_lesion.png,0.549462702,73
ISLES,sub2/1/slice27_lesion.png,0.464535886,14
ISLES,sub2/0/slice28_nonlesion.png,NaN,0
ISLES,sub2/0/slice29_nonlesion.png,NaN,0
ISLES,sub2/0/slice30_nonlesion.png,NaN,0
ISLES,sub2/0/slice31_nonlesion.png,NaN,0
ISLES,sub2/0/slice32_nonlesion.png,NaN,0
ISLES,sub2/0/slice33_nonlesion.png,NaN,0
ISLES,sub2/0/slice34_nonlesion.png,NaN,0
ISLES,sub2/0/slice35_nonlesion.png,NaN,0
ISLES,sub2/0/slice36_nonlesion.png,NaN,0
ISLES,sub20/0/slice1_nonlesion.png,NaN,0
ISLES,sub20/1/slice2_lesion.png,0.493163487,170
ISLES,sub20/1/slice3_lesion.png,0.613899197,299
ISLES,sub20/1/slice4_lesion.png,0.680403936,517
ISLES,sub20/1/slice5_lesion.png,0.679094347,636
ISLES,sub20/1/slice6_lesion.png,0.642497734,575
ISLES,sub20/1/slice7_lesion.png,0.608511395,534
ISLES,sub20/1/slice8_lesion.png,0.644357634,195
ISLES,sub20/1/slice9_lesion.png,0.610444325,110
ISLES,sub20/0/slice10_nonlesion.png,NaN,0
ISLES,sub20/0/slice11_nonlesion.png,NaN,0
ISLES,sub20/0/slice12_nonlesion.png,NaN,0
ISLES,sub20/0/slice13_nonlesion.png,NaN,0
ISLES,sub20/0/slice14_nonlesion.png,NaN,0
ISLES,sub20/0/slice15_nonlesion.png,NaN,0
ISLES,sub20/0/slice16_nonlesion.png,NaN,0
ISLES,sub20/0/slice17_nonlesion.png,NaN,0
ISLES,sub20/0/slice18_nonlesion.png,NaN,0
ISLES,sub20/0/slice19_nonlesion.png,NaN,0
ISLES,sub20/0/slice20_nonlesion.png,NaN,0
ISLES,sub20/0/slice21_nonlesion.png,NaN,0
ISLES,sub20/0/slice22_nonlesion.png,NaN,0
ISLES,sub20/0/slice23_nonlesion.png,NaN,0
ISLES,sub20/0/slice24_nonlesion.png,NaN,0
ISLES,sub20/0/slice25_nonlesion.png,NaN,0
ISLES,sub20/0/slice26_nonlesion.png,NaN,0
ISLES,sub20/0/slice27_nonlesion.png,NaN,0
ISLES,sub20/0/slice28_nonlesion.png,NaN,0
ISLES,sub20/0/slice29_nonlesion.png,NaN,0
ISLES,sub20/0/slice30_nonlesion.png,NaN,0
ISLES,sub20/0/slice31_nonlesion.png,NaN,0
ISLES,sub20/0/slice32_nonlesion.png,NaN,0
ISLES,sub20/0/slice33_nonlesion.png,NaN,0
ISLES,sub20/0/slice34_nonlesion.png,NaN,0
ISLES,sub20/0/slice35_nonlesion.png,NaN,0
ISLES,sub20/0/slice36_nonlesion.png,NaN,0
ISLES,sub21/0/slice1_nonlesion.png,NaN,0
ISLES,sub21/0/slice2_nonlesion.png,NaN,0
ISLES,sub21/0/slice3_nonlesion.png,NaN,0
ISLES,sub21/0/slice4_nonlesion.png,NaN,0
ISLES,sub21/0/slice5_nonlesion.png,NaN,0
ISLES,sub21/0/slice6_nonlesion.png,NaN,0
ISLES,sub21/0/slice7_nonlesion.png,NaN,0
ISLES,sub21/0/slice8_nonlesion.png,NaN,0
ISLES,sub21/0/slice9_nonlesion.png,NaN,0
ISLES,sub21/0/slice10_nonlesion.png,NaN,0
ISLES,sub21/0/slice11_nonlesion.png,NaN,0
ISLES,sub21/0/slice12_nonlesion.png,NaN,0
ISLES,sub21/0/slice13_nonlesion.png,NaN,0
